Info: Reading netlist file "/home/laudas/eagle/eagle-lbr2kicad/examples/PIXHAWK/kicad_files/PX4FMUv2.4.net".

Info: Using references to match components and footprints.

* Warning: component 'VP_38': board footprint 'VPAC2', netlist footprint 'VPAD_VPAC2'
* Warning: component 'U101': board footprint 'TQFP100', netlist footprint 'PIXHAWK2_TQFP100'

* Warning: component 'U302': board footprint 'SOT563-6', netlist footprint 'PIXHAWK2_SOT563-6'

* Warning: component 'U401': board footprint 'SOT23-8', netlist footprint 'PIXHAWK2_SOT23-8'

* Warning: component 'U702': board footprint 'SOT23-8', netlist footprint 'PIXHAWK2_SOT23-8'

* Warning: component 'D1001': board footprint 'SOT23-3', netlist footprint 'PIXHAWK2_SOT23-3'

* Warning: component 'U701': board footprint 'SON10', netlist footprint 'PIXHAWK2_SON10'

* Warning: component 'D2': board footprint 'SOD323', netlist footprint 'PIXHAWK2_SOD323'

* Warning: component 'U102': board footprint 'SO08', netlist footprint 'PIXHAWK2_SO08'

* Warning: component 'U602': board footprint 'QFN8-DSG', netlist footprint 'PIXHAWK2_QFN8-DSG'

* Warning: component 'U1001': board footprint 'QFN8-DSG', netlist footprint 'PIXHAWK2_QFN8-DSG'

* Warning: component 'U601': board footprint 'QFN8-DSG', netlist footprint 'PIXHAWK2_QFN8-DSG'

* Warning: component 'U201': board footprint 'QFN20-RGY', netlist footprint 'PIXHAWK2_QFN20-RGY'

* Warning: component 'U901': board footprint 'QFN20-RGY', netlist footprint 'PIXHAWK2_QFN20-RGY'

* Warning: component 'U902': board footprint 'QFN20-RGY', netlist footprint 'PIXHAWK2_QFN20-RGY'

* Warning: component 'U202': board footprint 'QFN20-RGY', netlist footprint 'PIXHAWK2_QFN20-RGY'

* Warning: component 'U505': board footprint 'QFN-24', netlist footprint 'PIXHAWK2_QFN-24'

* Warning: component 'F1001': board footprint 'PTC-1206', netlist footprint 'PIXHAWK2_PTC-1206'

* Warning: component 'VDD_5V_IN1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'VDDA_3V1101': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'VBUS1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S5_RX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S5_TX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S4TX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'VDD_3V1101': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S4RX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S3TX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S3RX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S2TX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S2RX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S1TX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'S1RX1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'IO-BOOT1101': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'GND1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'GND.1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'FMU-BOOT1101': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'CAN_L1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'CAN_H1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'ADC_PR1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component '!VDD_SERVO_VALID1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component '!VDD_BRICK_VALID1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component '!VBUS_VALID1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'VDD_5V_BRICK1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

